주소,약국명,대표전화,경도,위도
"서울특별시 구로구 고척로 230, 1층 101호 (고척동)",조이약국,02-2687-0866,126.8585164,37.50593396
"서울특별시 서대문구 통일로 464, 4층 (홍제동,홍제빌딩)",조이약국,02-396-4275,126.9432191,37.58996298
"서울특별시 강동구 천호대로 1006, 306 (성내동,브라운스톤천호 에프)",조이약국,02-485-7373,127.123789,37.5380514
"서울특별시 동작구 동작대로 121, 지하1층 (사당동, 경원빌딩)",조이온누리약국,02-532-0971,126.9818602,37.48747989
"서울특별시 성동구 왕십리로 322, 한성아펠타워 102호 (도선동)",조이온누리약국,02-2282-7808,127.0340567,37.56252779
서울특별시 성북구 삼선교로10길 38 (삼선동1가),조일약국,02-742-5083,127.0096747,37.58638687
서울특별시 동대문구 장한로6길 10 (장안동),조현약국,02-2245-9459,127.0667373,37.5635281
"서울특별시 종로구 종로 지하55, 종각지하철역사 152-114호 (종로1가)",종각역약국,050-71311-0453,126.9832397,37.57021404
"서울특별시 종로구 종로 68, 대한기독교서회 1층 (종로2가)",종각팜약국,02-738-6500,126.9849474,37.56989225
"서울특별시 종로구 종로 88, 경영빌딩 1층 (종로2가)",종각호약국,02-6949-0940,126.9871823,37.56995045
서울특별시 종로구 종로 230-1 (종로5가),종근당약국,02-2274-1311,127.0032975,37.57078218
"서울특별시 영등포구 도림로 352, (도림동)",종대약국,02-846-4062,126.9003679,37.50862373
"서울특별시 종로구 종로 211-1, 소암빌딩 1층 (종로5가)",종로5가미래약국,02-766-5466,127.0012511,37.57120965
"서울특별시 강동구 구천면로 664, (상일동)",종로광명약국,02-426-0787,127.171762,37.55079239
"서울특별시 관악구 신림로 137 (신림동, 조흥빌딩)",종로늘푸른약국,28850074,126.9340553,37.47115209
서울특별시 강서구 양천로57길 36,종로당약국,02-2668-0215,126.8535196,37.56462738
"서울특별시 노원구 덕릉로 730  (상계동, 상계불암대림아파트)",종로모범약국,02-3391-0177,127.0761913,37.66282681
"서울특별시 종로구 종로 261, 1층 (종로6가)",종로밝은약국,050-71363-7470,127.0069859,37.57133442
서울특별시 종로구 종로 221  (종로5가),종로백세약국,02-744-2536,127.0022886,37.57126928
"서울특별시 종로구 종로 235, 백제약국 1층 (종로5가)",종로백제약국,02-745-8495,127.0039903,37.57125941
"서울특별시 종로구 종로 244-1, 1층 (종로5가)",종로삼성약국,02-2285-5631,127.0049208,37.57077915
"서울특별시 종로구 돈화문로 지하 30, 3호선 종로3가역 319-306호 (묘동)",종로성지약국,02-511-8283,126.9919944,37.57114028
서울특별시 종로구 종로41길 4 (종로6가),종로세란약국,02-763-3237,127.0068755,37.57149859
"서울특별시 도봉구 방학로 176, (방학동)",종로세명약국,02-3492-9963,127.0325415,37.66251123
"서울특별시 종로구 종로 127-2, 영흥빌딩 104호 (종로3가)",종로센트럴약국,02-743-1937,126.9917737,37.57069364
"서울특별시 관악구 보라매로 4, 1층 (봉천동)",종로수약국,02-877-0789,126.9279787,37.48995972
"서울특별시 구로구 고척로 142, (고척동)",종로약국,02-2612-3986,126.849652,37.5025646
"서울특별시 강남구 도곡로 419, 1층 (대치동)",종로약국,02-508-2450,127.056316,37.49765537
서울특별시 성동구 사근동길 2(행당동),종로약국,02-2296-2277,127.0413337,37.5599679
"서울특별시 중랑구 면목로 319, 1층 (면목동)",종로약국,02-438-8447,127.0882106,37.5804346
서울특별시 종로구 종로 195 (종로4가),종로약국,02-745-3184,126.9993204,37.57112037
서울특별시 강서구 방화동로16길 62 (방화동),종로약국,02-2665-3388,126.8118714,37.57274849
"서울특별시 종로구 종로 65, 103호 (종로2가)",종로엔약국,02-739-9856,126.9847216,37.57048472
서울특별시 종로구 종로 213-1 (종로5가),종로오가약국,02-763-8855,127.0015312,37.57118613
"서울특별시 종로구 종로 293, 1층 (창신동, 하나저축은행)",종로온누리약국,02-742-0900,127.0104979,37.57186484
"서울특별시 영등포구 시흥대로187길 12, 상가동 103호 (대림동, 대림동현대아파트)",종로온누리약국,02-2636-1110,126.9082096,37.49305467
"서울특별시 종로구 종로 202, 1층 (종로4가)",종로우리약국,02-2275-4700,127.0000583,37.57069429
"서울특별시 종로구 종로 233, 1층 일부호 (종로5가)",종로제일약국,02-766-7635,127.0036369,37.57128285
"서울특별시 종로구 대학로 1, 101호 (종로5가)",종로중앙약국,02-744-7233,127.0017693,37.57133452
"서울특별시 종로구 종로 191, 1층 (종로4가)",종로태양약국,02-766-1777,126.9990023,37.57110207
서울특별시 강북구 오패산로 130 동명빌딩 1층 (미아동),종로태평양약국,02-985-0393,127.0342565,37.61353212
"서울특별시 중랑구 동일로 917, 1층, 지하1층 (묵동)",종로태평양온누리약국,02-979-0426,127.0771061,37.61221105
"서울특별시 종로구 돈화문로 지하30, 3호선 종로3가역 지하2층 319-205-4호 (묘동)",종로팔팔온누리약국,02-742-0388,126.9919944,37.57114028
"서울특별시 노원구 동일로 1353, (상계동)",종로프라자약국,02-932-9033,127.0615553,37.64942127
서울특별시 종로구 자하문로 63 (옥인동),종로프라자약국,02-736-0806,126.9705924,37.58158635
"서울특별시 동대문구 사가정로 226, 101호~104호 (장안동)",종로프라자약국,02-2242-2182,127.0700075,37.57856876
서울특별시 관악구 조원중앙로 20 (신림동),종로프라자약국,02-866-7668,126.9055476,37.48134434
"서울특별시 양천구 목동로27길 5, 1층 (신정동)",종로프라자약국,02-2652-8343,126.8632549,37.52846028
"서울특별시 용산구 한강대로23길 55 (한강로3가, 이마트내)",종로프라자약국,02-2012-1276,126.9647415,37.5297718
"서울특별시 도봉구 노해로65길 14-3, 1층 (창동)",종로프라자약국,02-907-4266,127.0467678,37.65207037
"서울특별시 종로구 종로 344, 309호 (숭인동)",종로한사랑약국,02-2232-9339,127.0160832,37.57272286
"서울특별시 성북구 종암로 80, 1층 (종암동)",종암약국,02-912-0107,127.0354455,37.59743153
"서울특별시 종로구 종로 195-1, 1층 (종로4가)",종오약국,02-763-7771,126.9994607,37.57112793
"서울특별시 광진구 뚝섬로 480, 1층 (자양동)",종우약국,02-464-4756,127.0635473,37.53642449
"서울특별시 송파구 양재대로 1222, 올림픽프라자 1층 67호 (방이동)",종우약국,02-406-2271,127.1310632,37.51572764
서울특별시 강남구 강남대로118길 38  (논현동),종원약국,02-548-8969,127.0262791,37.50702147
"서울특별시 광진구 긴고랑로 106, 1층 (중곡동)",종합약국,02-452-4185,127.0869355,37.55956633
"서울특별시 강남구 언주로30길 10, 현대비전21 4층 410호 (도곡동)",좋은아침약국,050-71438-5424,127.0515539,37.48733867
"서울특별시 양천구 남부순환로59길 2, 1층 (신월동)",좋은약국,02-2065-2264,126.8317145,37.53192417
"서울특별시 성북구 장월로1길 23, 1층 (상월곡동)",좋은약국,02-942-7588,127.0463495,37.60720151
서울특별시 구로구 경인로40길 34,좋은약국,02-2615-6999,126.8588038,37.49540038
"서울특별시 동작구 동작대로 21, 양지빌딩 지하층 102호 (사당동)",좋은약국,02-523-3045,126.9813621,37.47848162
"서울특별시 강서구 마곡중앙6로 93, 열린프라자 1층 103-3호 (마곡동)",주랑약국,02-3665-3163,126.8376979,37.56013568
"서울특별시 강남구 일원로 33, (일원동)",주민약국,02-445-2851,127.0810554,37.4909138
서울특별시 서초구 방배로 39 1층 (방배동),주앙약국,02-584-3398,126.9994114,37.47815629
서울특별시 강서구 공항대로 23 (공항동),주약국,02-2662-0431,126.8098182,37.56172982
서울특별시 노원구 덕릉로 779 (상계동),주연약국,02-952-8560,127.0782102,37.66681666
"서울특별시 송파구 위례성대로 158, 대림아파트 116,117호 (오금동)",주연온누리약국,02-6953-3753,127.1286467,37.51090254
"서울특별시 강동구 양재대로 1550, 1층 (길동,은호빌딩)",주온누리약국,02-473-8842,127.1425662,37.54389419
서울특별시 중구 퇴계로 438-1 (신당동),주원약국,02-2234-3531,127.0203352,37.56544351
"서울특별시 송파구 강동대로 69, 동성빌딩 1층일부, 2층 (풍납동)",주차바로약국,02-489-3551,127.1151909,37.52692139
서울특별시 송파구 강동대로 61 (풍납동),주차편한아산메디칼약국,02-488-8575,127.1142843,37.52726825
"서울특별시 은평구 통일로 1030, 은평헤스티아 지하1층 103,104호 (진관동)",주차편한약국,02-356-7660,126.9176955,37.63419225
"서울특별시 서대문구 성산로 492, 1층 (대신동, 동관)",주차편한우리약국,02-392-7722,126.9417222,37.56117349
"서울특별시 관악구 인헌6길 5, 1층 (봉천동)",주평화약국,02-882-3301,126.9664424,37.47384497
서울특별시 마포구 월드컵북로 167,준약국,02-305-9394,126.9097978,37.5670153
"서울특별시 구로구 경인로 31-28, 1층 (온수동)",준약국,02-803-3602,126.8249994,37.49144874
"서울특별시 서초구 헌릉로8길 45, 상가동 203호 (내곡동, 서초포레스타2단지)",준약국,02-572-1402,127.0625466,37.45468985
"서울특별시 강동구 진황도로 190, 1층 (둔촌동)",준약국,02-470-1313,127.1429924,37.52926135
"서울특별시 중랑구 겸재로 180, 지층 (면목동, 안민빌딩)",준약국,02-494-5772,127.0879513,37.58820081
서울특별시 성북구 성북로5길 2 (성북동1가),준약국,02-764-4835,127.004784,37.5892607
"서울특별시 강서구 양천로 583, 우림블루나인비즈니스센터 118호 (염창동)",준온누리약국,02-2093-7900,126.8643474,37.55711619
"서울특별시 강동구 올림픽로 783, 1층 103호 (암사동)",준온누리약국,02-428-9679,127.1276117,37.55114362
"서울특별시 동대문구 장한로 58, 1층 (장안동)",중경당약국,02-2246-1220,127.0680715,37.5661158
"서울특별시 노원구 중계로 218, 원광빌딩 1층 102호 (중계동)",중계상록수약국,02-931-6528,127.0759996,37.65084973
서울특별시 노원구 덕릉로 694 (중계동),중계수암약국,02-934-8466,127.0756124,37.65957753
"서울특별시 노원구 중계로14길 29, 중계약국 1층 (중계동)",중계약국,02-936-5377,127.0819108,37.64983199
"서울특별시 노원구 한글비석로 250, 2층 222호 (중계동, 그린코아빌딩)",중계열방약국,02-930-8679,127.077012,37.65002891
"서울특별시 노원구 동일로204가길 12, 홈플러스 지하2층 (중계동)",중계우리들약국,02-979-0096,127.068668,37.63985808
서울특별시 광진구 용마산로 45 (중곡동),중곡메디칼약국,02-444-2377,127.0876996,37.55758421
서울특별시 광진구 능동로51길 44 (중곡동),중곡열린약국,02-462-4552,127.0818109,37.56659218
서울특별시 광진구 용마산로 46  (중곡동),중곡종로약국,02-2201-4321,127.0881022,37.55777501
서울특별시 동대문구 망우로 131 (휘경동),중량약국,02-2245-2636,127.0674278,37.59184757
"서울특별시 동작구 흑석로 106-9, 2층 (흑석동)",중문약국,02-795-5656,126.9615645,37.50773173
"서울특별시 중구 을지로30길 58, 중부사약국 (오장동)",중부사약국,02-2275-7357,126.9989296,37.5646277
서울특별시 강동구 동남로 635 (둔촌동),중앙대영약국,02-471-9732,127.1492308,37.53116592
서울특별시 노원구 공릉로46길 19 (공릉동),중앙메디칼약국,02-975-6511,127.0801308,37.6279055
서울특별시 금천구 가산디지털1로 186 (가산동),중앙메디칼약국,02-863-1012,126.8815811,37.48191309
"서울특별시 영등포구 가마산로 582, (신길동)",중앙메디칼약국,02-846-8950,126.9208893,37.50396259
서울특별시 동작구 흑석로 106-7 (흑석동),중앙명성약국,02-822-2338,126.9615219,37.50781641
"서울특별시 양천구 목동중앙북로 89, 1층 (목동)",중앙약국,02-2645-1163,126.8730615,37.54641383
"서울특별시 중랑구 신내로 128  (신내동, 동성아파트)",중앙약국,02-491-0081,127.0978091,37.60894053
"서울특별시 강남구 압구정로50길 28, 101동 116,117호 (신사동, 로데오현대아파트)",중앙약국,02-542-6354,127.0393276,37.52486582
"서울특별시 구로구 구로중앙로18길 68, 1층 3호 (구로동, 신구로현대아파트)",중앙약국,02-862-6830,126.892606,37.49689827
"서울특별시 노원구 상계로27길 32, 106호 (상계동)",중앙약국,02-934-9934,127.0698633,37.65996021
"서울특별시 구로구 구로중앙로18길 68, 1층 3호 (구로동, 신구로현대아파트)",중앙약국,02-820-6830,126.892606,37.49689827
"서울특별시 동대문구 왕산로 20, 1층 (신설동)",중앙약국,02-921-1622,127.0258085,37.57615843
서울특별시 광진구 용마산로 53 (중곡동),중앙약국,02-452-4420,127.0875674,37.55845115
"서울특별시 도봉구 도봉로 452, 1층 (창동)",중앙약국,02-908-3579,127.033474,37.6460101
서울특별시 동작구 양녕로 195 (상도동),중앙약국,02-815-4915,126.94368,37.49878775
"서울특별시 중구 을지로 251, 1층 (을지로6가)",중앙약국,02-2275-4982,127.0062514,37.56655486
서울특별시 강북구 오현로 191,중앙약국,02-984-8480,127.0391947,37.62882043
"서울특별시 은평구 통일로 875 (갈현동, 흥진빌딩)",중앙약국,02-355-7593,126.9196349,37.62113992
"서울특별시 관악구 난곡로 367, 경신빌딩 1층 (신림동)",중앙약국,02-869-0966,126.9133541,37.48670096
"서울특별시 관악구 시흥대로 578, 1층 (신림동)",중앙온누리약국,02-867-1574,126.9032473,37.48430905
서울특별시 영등포구 여의대방로 417,중앙온누리약국,02-761-0512,126.9343126,37.52106079
"서울특별시 강동구 아리수로 427, 중앙프라자 1층 105호 (강일동)",중앙온누리약국,070-8860-5070,127.1746034,37.56496233
"서울특별시 도봉구 덕릉로 241, 1층 (창동)",중앙온누리약국,02-903-3005,127.0384967,37.63938805
"서울특별시 양천구 신목로 84, 1층 (신정동,삼진빌딩)",중앙제일약국,02-2643-7557,126.8745566,37.52218717
서울특별시 성동구 용답중앙15길 1,중앙종로약국,02-2243-6894,127.0528438,37.56393229
"서울특별시 송파구 마천로57길 4, 1층 (마천동)",중앙프라자약국,02-3401-3818,127.1520632,37.49434866
서울특별시 동작구 상도로 178 (상도동),중앙프라자약국,02-814-1943,126.9387505,37.50429811
"서울특별시 성북구 동소문로 98, 1층 101호 (동소문동5가)",중앙프라자약국,02-927-5606,127.0161725,37.59225207
서울특별시 강남구 학동로4길 35 (논현동),중외약국,02-549-1771,127.0239725,37.50918473
"서울특별시 마포구 월드컵북로 190, (성산동)",중원약국,02-374-3326,126.9078959,37.56835956
서울특별시 서초구 동광로1길 112,즐거운약국,02-536-8609,126.9847253,37.49699665
서울특별시 구로구 경인로 320 (개봉동),즐거운약국,02-2685-5675,126.8557328,37.49708641
"서울특별시 도봉구 노해로63길 79, 우림빌딩 1층 104호 (창동)",즐거운약국,02-990-3083,127.0462919,37.65308849
서울특별시 마포구 큰우물로 53,즐거운약국,02-714-7588,126.9446296,37.54229142
"서울특별시 강남구 논현로 863, 1층 (신사동)",즐거운약국,02-548-2328,127.0281714,37.52583128
서울특별시 은평구 증산로3길 6 (증산동),증산약국,02-6449-5252,126.9055807,37.58081353
"서울특별시 노원구 동일로 1547, 동남빌딩 1층 102호 (상계동)",지구약국,02-951-1176,127.0569314,37.66655756
"서울특별시 노원구 동일로 1547, 동남빌딩 1층 102호 (상계동)",지구약국,02-951-1176,127.0569339,37.6665572
"서울특별시 중랑구 용마산로 497, 석현빌딩 (망우동)",지니약국,02-6398-7272,127.0997138,37.59536993
"서울특별시 송파구 올림픽로 305, 잠실역8호선 지하1층 107, 108호 (신천동)",지니약국,02-416-2023,127.1042164,37.51497717
서울특별시 성북구 삼선교로 87 (삼선동4가),지민약국,02-953-5674,127.0150153,37.58996316
"서울특별시 성북구 장위로 127-1, 한양빌딩 2층 (장위동)",지선약국,02-911-1996,127.0508618,37.61367191
"서울특별시 마포구 월드컵북로 185, (성산동)",지선약국,02-376-2534,126.9079453,37.56791072
서울특별시 동작구 양녕로 189 (상도동),지성약국,02-822-2309,126.943434,37.49822388
"서울특별시 영등포구 양평로 64, 한경빌딩 1층 (당산동6가)",지성약국,02-2637-8752,126.8999658,37.53513971
"서울특별시 도봉구 도봉로150길 8, 이안테라디움방학역 105호 (방학동)",지안약국,02-6338-6337,127.0436876,37.66569899
"서울특별시 강동구 양재대로 1360, 포레온스테이션5 3067호 (둔촌동)",지안약국,070-7576-4817,127.1370461,37.52747586
"서울특별시 성동구 왕십리광장로 17, 왕십리민자역사 4층 OV3-1 호 (행당동)",지안약국,02-2200-1577,127.0383942,37.56144175
서울특별시 송파구 동남로 215 (가락동),지앤미약국,02-402-0612,127.1315527,37.49659985
서울특별시 강북구 삼양로 423 (수유동),지영약국,02-902-1072,127.0165974,37.64125135
서울특별시 종로구 성균관로 32-2 (명륜2가),지영오행당약국,02-766-9438,126.9970705,37.58554309
서울특별시 강남구 영동대로 221 (대치동) 101호,지영온누리약국,02-554-5621,127.0681172,37.49865729
"서울특별시 송파구 백제고분로48길 27, 성우빌딩 (방이동)",지용약국,02-415-2336,127.1160844,37.5109333
서울특별시 동대문구 고산자로 469 (제기동),지운당한약국,02-957-2253,127.0382848,37.5815283
"서울특별시 강남구 봉은사로 533, 윤곡빌딩 1층 102호 (삼성동)",지음약국,02-540-7669,127.0584636,37.51418849
"서울특별시 강남구 도곡로 431, 강남 동산 빌딩 1층 (대치동)",지킴약국,02-2088-1029,127.0574783,37.498059
"서울특별시 서초구 서초대로 411, 지하1층 (서초동, 지티타워)",지티타워약국,02-590-2460,127.0259227,37.49810835
"서울특별시 중구 을지로 131, (을지로3가,지하상가 3-11)",지하근화사약국,02-2272-4986,126.9940776,37.56644531
"서울특별시 송파구 중대로 지하149, 경찰병원역 지하1층 101호 (가락동)",지하철더조은약국,02-000-0000,127.1240678,37.49560314
"서울특별시 송파구 올림픽로 지하 265 (잠실동, 잠실역지하상가 B-13호)",지하철약국,02-423-1919,127.1018579,37.51385928
"서울특별시 송파구 중대로 지하149, 경찰병원역 B1층 102호 (가락동)",지하철정문약국,02-400-9208,127.1240678,37.49560314
서울특별시 영등포구 영등포로 399-5  (신길동),지현약국,02-842-6905,126.9222308,37.51384029
"서울특별시 강서구 가로공원로76길 73, 2층 (화곡동)",지혜약국,02-2603-5553,126.838553,37.5339953
"서울특별시 노원구 공릉로59길 18, 102호 (하계동, 삼성시티빌)",지혜온누리약국,02-975-9828,127.070958,37.63352434
"서울특별시 송파구 석촌호수로 58 (잠실동, 동신빌딩 1층)",지혜온누리약국,02-412-5792,127.0854506,37.51109323
서울특별시 강북구 도봉로67길 13 (미아동),직영약국,02-989-2370,127.0235355,37.6305816
"서울특별시 성동구 성덕정길 106, 1층 (성수동2가)",진로약국,02-469-0401,127.0551048,37.53715944
"서울특별시 송파구 마천로57길 3, 1층 (마천동)",진메디칼약국,02-400-9240,127.1517424,37.49441106
"서울특별시 양천구 곰달래로 20, (신월동)",진생약국,02-2604-5029,126.8347165,37.52967528
서울특별시 동대문구 한천로 86 (장안동),진선미약국,02-2248-7588,127.0641486,37.56909732
서울특별시 강남구 선릉로 424  (대치동),진선약국,02-567-0429,127.050065,37.50291015
서울특별시 도봉구 도봉로 681 (방학동),진성온누리약국,02-3494-5177,127.042536,37.66530685
서울특별시 구로구 경인로 211-1  (오류동),진솔약국,02-2060-0906,126.8443581,37.49652542
"서울특별시 성북구 장월로 146, 1층 (장위동)",진약국,02-942-0700,127.0511714,37.61773965
서울특별시 성동구 왕십리로 315,진약국,02-2294-2828,127.0342377,37.56172108
"서울특별시 은평구 통일로 610, 106호 (녹번동, 힐스테이트녹번)",진약국,02-356-7464,126.9359478,37.60198245
"서울특별시 강동구 구천면로 304, 3층 (천호동)",진약국,02-486-2347,127.1348095,37.54672703
서울특별시 중랑구 봉화산로 218 (신내동),진약국,02-2135-1765,127.0970617,37.60738604
"서울특별시 노원구 노해로 452, (상계동)",진약국,02-935-8266,127.0584257,37.65350431
"서울특별시 마포구 토정로 222, 203호 (신수동, 한국출판협동조합)",진약국,02-715-9800,126.9352956,37.54449763
"서울특별시 서초구 서초대로 302, 102호(서초동,인앤인빌딩)",진약국,02-597-6245,127.0146952,37.49371886
"서울특별시 광진구 동일로60길 14, (군자동)",진약국,02-467-1116,127.0741182,37.55832683
서울특별시 서대문구 연희로 94,진약국,02-3143-3755,126.9307621,37.56636173
서울특별시 강북구 한천로 1148 (수유동),진약국,02-902-6438,127.0177041,37.64677675
서울특별시 광진구 아차산로57길 42 (구의동),진영약국,02-454-8827,127.0886708,37.54033585
서울특별시 동작구 노량진로6길 62 (노량진동),진원약국,070-8805-3810,126.9360753,37.51038361
"서울특별시 금천구 벚꽃로38길 5, 1층 (가산동)",진한약국,02-855-2728,126.8833258,37.48190996
서울특별시 은평구 통일로 723,진호메디칼약국,02-353-5172,126.929715,37.61007537
서울특별시 성북구 돌곶이로 36-1 (석관동),진호온누리약국,02-964-1944,127.0605747,37.60759862
서울특별시 서초구 서초대로 389 1층,진흥온누리약국,02-532-1525,127.0236652,37.49708113
"서울특별시 구로구 개봉로3길 76, (개봉동)",차기정약국,02-2687-7712,126.8520886,37.48626334
"서울특별시 송파구 석촌호수로 61, 트리지움 147호 (잠실동)",차돌약국,02-422-1239,127.0862114,37.510702
"서울특별시 관악구 호암로 526, 1층 (신림동)",착한약국,02-873-9578,126.9317421,37.46452069
"서울특별시 도봉구 덕릉로 253, 1층 (창동)",착한약국,02-905-2597,127.0393961,37.64029729
서울특별시 동작구 만양로 86 (노량진동),찬솔약국,02-815-8868,126.9446108,37.51120675
"서울특별시 강서구 강서로56길 110, SJC빌딩 101호 (등촌동)",참고은약국,02-3663-1077,126.8448785,37.55889899
"서울특별시 도봉구 노해로65길 10, 1층 101호 (창동)",참고은약국,070-4117-1710,127.0466106,37.65184537
"서울특별시 마포구 양화로 73, (서교동)",참마음약국,02-3141-0258,126.9159616,37.5514445
서울특별시 노원구  동일로  1382 (상계동),참말로친절한약국,02-932-1186,127.0615539,37.65199466
서울특별시 강서구 공항대로41길 66 (등촌동) 133호,참미래약국,02-2063-3549,126.8465793,37.56063175
"서울특별시 서초구 서초대로 319, 1층 (서초동)",참미소약국,02-594-7582,127.0164596,37.49481173
"서울특별시 노원구 한글비석로 269, 105호 (중계동, 마들프라자)",참미소약국,02-931-1011,127.0767882,37.65171822
"서울특별시 강북구 한천로105길 7, 207호 (번동, 주공아파트1단지상가)",참바로약국,02-987-9885,127.0471462,37.62617475
"서울특별시 관악구 신원로 35, 삼모 더 프라임 타워 1층 (신림동)",참바른약국,02-875-2555,126.9290234,37.48231224
"서울특별시 강서구 금낭화로 75, 1층 일부호 (방화동)",참바른약국,02-2661-1253,126.8112278,37.57217732
서울특별시 은평구 응암로 323 (응암동),참사랑약국,02-356-7676,126.9218556,37.60019054
"서울특별시 강서구 양천로 344, 마곡센트럴대방디엠시티오피스텔 127-1호,127-2호 (마곡동)",참사랑약국,02-518-1069,126.8403596,37.56826602
"서울특별시 송파구 올림픽로 212  (잠실동, 갤러리아팰리스)",참사랑약국,02-2144-6661,127.0942316,37.51070678
서울특별시 관악구 호암로26길 1 (신림동),참사랑약국,02-882-5618,126.9338987,37.47099181
"서울특별시 성동구 마장로 300, (마장동)",참사랑약국,02-2292-7369,127.0430748,37.56583475
서울특별시 성북구 장위로 107 (장위동),참사랑약국,02-942-3137,127.0487654,37.61373613
"서울특별시 영등포구 도신로29사길 1, 1층 (영등포동)",참사랑약국,02-842-6282,126.9047851,37.51012647
"서울특별시 동작구 신대방1가길 38, 105동 3층 309호 (신대방동, 동작상떼빌아파트)",참사랑약국,02-831-4091,126.9069396,37.487901
서울특별시 강북구 도봉로 197 (미아동),참사랑약국,02-945-4548,127.0258435,37.62627918
"서울특별시 동대문구 답십리로56길 21, 상가동 102호 (답십리동, 두산아파트)",참사랑온누리약국,02-2213-7588,127.0598603,37.57006932
"서울특별시 광진구 용마산로 23, 1층 (중곡동)",참사랑온누리약국,02-446-8543,127.0879323,37.55574681
"서울특별시 마포구 연남로 42, 상가B동 117호 (연남동, 코오롱하늘채아파트)",참사랑이화약국,02-6358-5865,126.9215448,37.5630867
"서울특별시 구로구 남부순환로105길 6, 1층 (가리봉동)",참사랑한약국,02-852-7697,126.8923038,37.47924987
"서울특별시 강동구 천호대로 1089, 복합시설동 지1층 B20호 (천호동, 강동 헤르셔)",참새약국,02-2681-1141,127.1331156,37.53660488
서울특별시 관악구 남부순환로 1862 (봉천동),참성심약국,02-887-1131,126.956529,37.47954324
"서울특별시 송파구 양재대로 1222, 올림픽프라자 3층 15호 (방이동)",참소망약국,02-408-3393,127.1310632,37.51572764
서울특별시 노원구 섬밭로 209,참약국,02-979-2204,127.0656987,37.63493067
"서울특별시 송파구 올림픽로35가길 9, 219호 (신천동, 잠실 푸르지오 월드마크)",참약국,02-422-8408,127.1034448,37.51748462
"서울특별시 성북구 종암로21길 3 (종암동, 용진빌딩)",참약국,02-922-9458,127.034134,37.59882539
"서울특별시 도봉구 해등로 190, 2층 217호 (쌍문동, 신원주상복합2차아파트)",참약국,02-990-8677,127.0357594,37.65821667
"서울특별시 강동구 아리수로 421, MIDC빌딩 107호 (강일동)",참약국,02-6952-7672,127.1740715,37.56463011
"서울특별시 종로구 종로 19, 르메이에르종로타운1 517호 (종로1가)",참약국,02-737-4855,126.9799237,37.57084449
서울특별시 강남구 일원로 95,참약국,02-3412-2577,127.0835242,37.48573633
"서울특별시 마포구 와우산로 149, 1층 (서교동)",참약국,050-71314-2488,126.9297049,37.55460481
"서울특별시 광진구 자양로15길 9, 3층 (자양동)",참약국,02-457-2922,127.0830101,37.53578496
"서울특별시 중랑구 상봉중앙로1길 12, 1층 (상봉동)",참약국,02-2208-1156,127.0874157,37.59962443
"서울특별시 영등포구 영신로19길 18, 금영빌딩 1층 (영등포동)",참약국,02-6951-1390,126.9057768,37.51397076
"서울특별시 강북구 삼양로 258, 지1층 (미아동)",참약사 우리가족약국,02-6941-0812,127.0184277,37.62641978
서울특별시 관악구 남부순환로 2062 (남현동),참약사 장수약국,02-598-1955,126.9777755,37.47639444
"서울특별시 광진구 아차산로 208, 상록빌딩 1층 일부호 (자양동)",참약사도담약국,02-6953-6637,127.0664892,37.54106095
"서울특별시 강동구 고덕비즈밸리로 38, 1층 105호 (고덕동)",참약사레몬약국,02-2138-3381,127.159622,37.5662716
"서울특별시 중랑구 겸재로 164, 1층 103호 (면목동)",참약사바른약국,02-2039-0244,127.0859462,37.58779882
"서울특별시 광진구 천호대로 538, 스테이 더 디자이너스 군자 제1층 105호 (군자동)",참약사봄약국,02-2205-3335,127.0778924,37.55738241
"서울특별시 송파구 동남로 240-6, 102호 (가락동, 테라펠리체 송파)",참약사사귐약국,02-6952-1930,127.1338269,37.49773364
"서울특별시 중랑구 망우로 463, 1층 103호 (망우동)",참약사삼흥약국,02-432-2624,127.1036374,37.60066104
"서울특별시 강남구 언주로7길 6, 213호 (개포동, 개포자이르네)",참약사스마일약국,02-574-2229,127.0554838,37.47857819
"서울특별시 송파구 백제고분로 258, 삼전원빌딩 103호 (삼전동)",참약사신한약국,02-415-9273,127.0950434,37.50229606
"서울특별시 성북구 종암로 122, 1층 (종암동, 시원빌딩)",참약사약국,02-943-1226,127.0339557,37.60120261
"서울특별시 성북구 동소문로 18-1, 애산빌딩 (동소문동2가)",참약사엘림약국,02-764-5291,127.008289,37.58915005
"서울특별시 은평구 은평로 227, 101호 (녹번동)",참약사우리약국,02-6237-0311,126.9328522,37.60131075
"서울특별시 마포구 만리재옛길 101-1, 삼성래미안공덕2차 상가2동 102호 (아현동)",참약사유명약국,02-702-7840,126.9614889,37.55144929
"서울특별시 성북구 종암로 147, 1층 (종암동)",참약사패밀리약국,02-6951-2999,127.0320143,37.60304009
서울특별시 중랑구 면목로 303(면목동),참약사플러스약국,070-4647-4656,127.0871359,37.57946737
"서울특별시 마포구 월드컵로 90, 1층 (서교동)",참약사햇살약국,02-2088-2445,126.9097032,37.55682784
서울특별시 용산구 신흥로 150-1 (후암동),참온누리약국,02-754-5682,126.9815432,37.54667244
"서울특별시 구로구 오리로 1149, B108호 (오류동, 랑데르)",참온누리약국,070-4222-1177,126.8382475,37.48660236
"서울특별시 동대문구 천호대로 307, 1층 104호 (답십리동, 클래식타워)",참이화약국,02-2247-5029,127.0547622,37.56579837
